case_name,google_case_id,judge,published,case_citation
Hofmann v. SCHIAVONE CONTRACTING CORP.,17671275509177836424,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Baez v. State of New York,8259358260615648149,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
AZMEN v. Lynch,17476222520978976400,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"In re Arab Bank, PLC Alien Tort Statute Litigation",18048412833039520202,Katzmann,1,"808 F. 3d 144 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"IN RE ARAB BANK, PLC ALIEN TORT STATUTE LITIGATION",8182757453583092613,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Turkmen v. Hasty,11117474020340596106,Katzmann,1,"808 F. 3d 197 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
TURKMEN v. Hasty,13093282616968742329,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Balintulo v. Ford Motor Co.,15361838170927593494,Katzmann,1,"796 F. 3d 160 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Ortiz-Franco v. Holder,14289006143447629960,Katzmann,1,"782 F. 3d 81 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Valle,11783993212131547013,Katzmann,1,"807 F. 3d 508 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Valle,3993413099685877732,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Berman v. Neo@ Ogilvy LLC,4432349298645599925,Newman,1,"801 F. 3d 145 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Brown v. City of New York,7084699175254036141,Newman,1,"798 F. 3d 94 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"Mercer v. BANK OF NEW YORK MELLON, NA",3711659195246474346,Newman,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Shamir v. City of New York,7582152165545284815,Newman,1,"804 F. 3d 553 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
New York Times Co. v. US DEPT. OF JUSTICE,16062438344726047091,Newman,1,"806 F. 3d 682 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. YINGST,3288470035681442701,Newman,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
New York Times Company v. United States Department of Justice,7937027073193087075,Newman,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Ortiz v. Metropolitan Transportation Authority,4957926384318612753,Newman,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
